ID,Query,Category,Difficulty,CSV_Answer,RAG_Answer,BLEU_Score,ROUGE_L_Score,Max_Score
q011,What is hypertension?,disease,easy,"Hypertension is the medical term for high blood pressure. It's a condition where the long-term force of the blood against your artery walls is high enough that it may eventually cause health problems, such as heart disease.","Hypertension, commonly known as high blood pressure, is a condition where the force of the blood against the artery walls is too high, which could lead to health problems like heart disease. It is often diagnosed when blood pressure readings consistently exceed 130/80 mmHg.",0.4473684210526316,0.41975308641975306,0.4473684210526316
q012,What is an 'antihistamine'?,treatment,easy,"An antihistamine is a type of medication used to treat allergy symptoms like sneezing, runny nose, and itchy eyes. It works by blocking histamine, a substance your body releases during an allergic reaction.","An antihistamine is a medicine that prevents or relieves allergy symptoms. It can also cause drowsiness, so caution is advised when driving or operating dangerous equipment. Common over-the-counter antihistamines include Chlor-Trimeton and Dimetapp.",0.22580645161290322,0.18181818181818182,0.22580645161290322
q013,What are the common side effects of statins?,side_effects,medium,"The most common side effects of statins (cholesterol-lowering drugs) are muscle pain, headache, nausea, and digestive issues. In rare cases, they can cause liver problems or more severe muscle damage.","The text provided does not mention statins or their side effects. However, common side effects of statins generally include muscle pain, fatigue, and digestive problems, among others. Please consult authoritative sources or a healthcare provider for more specific information on statins.",0.3157894736842105,0.3380281690140845,0.3380281690140845
q014,What is glaucoma?,disease,medium,"Glaucoma is a group of eye conditions that damage the optic nerve, which is vital for vision. This damage is often caused by abnormally high pressure in your eye (intraocular pressure).","Glaucoma is a group of eye diseases characterized by increased pressure within the eye, which can damage the optic nerve and cause gradual loss of vision. If left untreated, it generally leads to blindness. It can occur due to another eye disorder or without an obvious cause.",0.3170731707317073,0.28205128205128205,0.3170731707317073
q015,What is the purpose of a vaccine?,vaccination,easy,A vaccine helps your immune system produce antibodies (protection) against a specific disease without you having to get the disease itself. It 'trains' your body to fight off the infection if you are exposed to it in the future.,The purpose of a vaccine is to prevent specific diseases by helping the body to form antibodies that attack and may prevent infection from invading microorganisms like bacteria or viruses.,0.2962962962962963,0.20289855072463772,0.2962962962962963
q016,What does a 'CBC' blood test measure?,lab_test,medium,"A CBC (Complete Blood Count) is a common blood test that measures the levels of your red blood cells (which carry oxygen), white blood cells (which fight infection), and platelets (which help blood clot).","A CBC, or complete blood count, measures several components of blood, including the white blood cell count, red blood cell count, red cell distribution width, hematocrit, and hemoglobin levels. It provides valuable information about blood and blood-forming tissues and can help identify conditions such as anemia, leukemia, and infections.",0.23684210526315788,0.21686746987951805,0.23684210526315788
q017,What is the 'grapefruit effect' with medications?,drug_interaction,high,Grapefruit and grapefruit juice can interfere with enzymes in your gut that break down certain medications (like some statins and blood pressure drugs). This can lead to dangerously high levels of the drug in your bloodstream.,"The 'grapefruit effect' refers to grapefruit juice inhibiting the metabolism of many medications, leading to increased blood levels of these drugs. This can amplify the potency and side effects of medications such as cyclosporine and certain calcium channel blockers. It's generally advised not to take grapefruit juice with medication unless recommended by a doctor.",0.28888888888888886,0.13333333333333333,0.28888888888888886
q018,What is cognitive behavioral therapy (CBT)?,mental_health,medium,Cognitive Behavioral Therapy (CBT) is a type of talk therapy that helps you become aware of inaccurate or negative thinking patterns. It teaches you to challenge these thoughts and respond to situations in a more effective and positive way.,"Cognitive-behavioral therapy (CBT) is a therapeutic approach that helps patients confront their fears and obsessive thoughts by enduring anxiety-provoking activities without performing calming rituals. Through this method, anxiety tends to decrease over time, and patients can lessen their preoccupation with compulsive rituals by altering their thought patterns.",0.23809523809523808,0.20930232558139536,0.23809523809523808
q019,What is an 'autoimmune disease'?,disease,medium,"An autoimmune disease is a condition in which your body's immune system mistakenly attacks its own healthy tissues. Examples include rheumatoid arthritis, lupus, and type 1 diabetes.","An autoimmune disease is a condition where a person's immune system mistakenly attacks the body's own cells, leading to tissue destruction. These disorders can be general, affecting multiple tissues, or organ-specific, targeting a single organ.",0.36363636363636365,0.3548387096774193,0.36363636363636365
q020,What is the RICE method for injuries?,first_aid,easy,"RICE is a first-aid acronym for treating minor sprains and strains. It stands for Rest (avoid using the injured area), Ice (apply a cold pack for 15-20 minutes), Compression (use an elastic bandage), and Elevation (raise the injured part above heart level).","The RICE method for injuries involves Rest, Ice, Compression, and Elevation. It is a basic first aid treatment commonly used for sprains and mild strains to reduce pain and swelling.",0.2962962962962963,0.19444444444444445,0.2962962962962963
q021,What are the symptoms of dehydration?,symptom,easy,"Symptoms include feeling very thirsty, having a dry mouth, urinating less often, dark-colored urine, fatigue, dizziness, and confusion. In infants, look for a sunken soft spot or no tears when crying.","Symptoms of dehydration include intense thirst, little or no urine output, dry skin and mouth, absence of tears, glassy or sunken eyes, muscle cramps, weakness, rapid heart rate, and in infants, a sunken fontanelle.",0.36666666666666664,0.27692307692307694,0.36666666666666664
q022,What is an 'NSAID'?,treatment,medium,"NSAID stands for Nonsteroidal Anti-Inflammatory Drug. These are medications used to reduce pain, fever, and inflammation. Common examples include ibuprofen (Advil) and naproxen (Aleve).","An NSAID, or nonsteroidal anti-inflammatory drug, is a type of medication used to relieve pain, swelling, and symptoms of inflammation, such as ibuprofen or ketoprofen.",0.30434782608695654,0.2857142857142857,0.30434782608695654
q023,What is sepsis?,disease,high,"Sepsis is a life-threatening medical emergency. It's the body's extreme response to an infection, which triggers a chain reaction that can lead to tissue damage, organ failure, and death.","Sepsis is a condition defined by the presence of pus-forming or other disease-causing organisms in the blood or tissues. It is an overwhelming infection that affects all the systems of the body and is caused by various microscopic disease-causing organisms. Septicemia, also known as blood poisoning, is a common form of sepsis.",0.1794871794871795,0.1728395061728395,0.1794871794871795
q024,What is the function of the kidneys?,anatomy,easy,"The kidneys are two bean-shaped organs that filter waste and excess water from your blood to produce urine. They also help control blood pressure, make red blood cells, and keep your bones healthy.","The kidneys remove metabolic waste products from the bloodstream, regulate the body's water balance, and maintain the pH of the body's fluids. They cleanse the blood, keeping necessary substances and removing waste products through urine. Additionally, they release regulatory chemicals such as erythropoietin, renin, and calcitriol that support other bodily functions.",0.225,0.16666666666666669,0.225
q025,What is a 'placebo'?,treatment,medium,"A placebo is a substance or treatment with no active therapeutic effect, such as a sugar pill. In clinical trials, a placebo is often given to a control group to compare its effects against those of a real drug.","A placebo is an inactive substance with no pharmacological action, administered to some patients in clinical trials to determine the relative effectiveness of another drug given to a different group of patients.",0.42857142857142855,0.36619718309859156,0.42857142857142855
q026,What is the difference between a psychiatrist and a psychologist?,mental_health,medium,"A psychiatrist is a medical doctor (M.D.) who can diagnose mental illness, provide therapy, and prescribe medication. A psychologist typically has a doctoral degree (Ph.D. or Psy.D.) and specializes in talk therapy (psychotherapy) but usually cannot prescribe medication.","A psychiatrist is a medical doctor (M.D. or D.O.) who can prescribe medications and typically focuses on the medical aspects of mental health treatment. A psychologist typically holds a doctoral degree (Ph.D., Psy.D., or Ed.D.) and primarily provides psychotherapy and conducts psychological testing but generally cannot prescribe medications.",0.4358974358974359,0.46511627906976744,0.46511627906976744
q027,What is serotonin syndrome?,side_effects,high,"Serotonin syndrome is a potentially life-threatening condition caused by too much serotonin in the body. It often occurs when mixing medications that increase serotonin, like antidepressants (SSRIs) and some migraine drugs. Symptoms include agitation, fever, and rapid heart rate.",Serotonin syndrome is a group of symptoms caused by severely elevated serotonin levels in the body.,0.6666666666666666,0.3636363636363636,0.6666666666666666
q028,What is a 'biopsy'?,medical_procedure,medium,"A biopsy is a medical procedure that involves taking a small sample of tissue or cells from the body for examination under a microscope. It is used to diagnose diseases, especially cancer.","A biopsy is the surgical removal and examination of a tissue sample for diagnostic purposes, often to determine the presence of malignancy in a suspected tumor.",0.45454545454545453,0.2413793103448276,0.45454545454545453
q029,What is 'good' vs. 'bad' cholesterol?,anatomy,medium,"LDL (Low-Density Lipoprotein) is 'bad' cholesterol because it builds up in arteries, forming plaque. HDL (High-Density Lipoprotein) is 'good' cholesterol because it helps remove LDL from the bloodstream, carrying it back to the liver.","'Good' cholesterol refers to high-density lipoprotein (HDL) cholesterol, which lowers the risk of heart and blood vessel problems. 'Bad' cholesterol refers to low-density lipoprotein (LDL) cholesterol, which increases the risk of heart disease by contributing to plaque buildup on blood vessel walls.",0.1724137931034483,0.13157894736842105,0.1724137931034483
q030,What is Parkinson's disease?,disease,medium,"Parkinson's disease is a progressive brain disorder that affects the nervous system, causing unintended or uncontrollable movements. Symptoms include tremors, stiffness, and difficulty with balance and coordination.","Parkinson's disease is a progressive movement disorder characterized by tremors, rigidity, slow movements (bradykinesia), and posture instability. It occurs when cells in the brain responsible for movement control begin to die for unknown reasons, most commonly affecting individuals in their late fifties or early sixties. Common symptoms include shaking in resting muscles, stooped posture, slurred speech, muscular stiffness, and weakness.",0.2545454545454545,0.2758620689655173,0.2758620689655173
q031,What is an 'EpiPen' used for?,treatment,medium,An EpiPen is an auto-injector that delivers a dose of epinephrine (adrenaline). It is used as an emergency treatment for severe allergic reactions (anaphylaxis) to things like bee stings or food allergies.,"The provided context does not contain information about an EpiPen. Therefore, I cannot answer the question based on the given content.",0.05263157894736842,0.03773584905660377,0.05263157894736842
q032,What are the signs of a stroke?,symptom,easy,"Use the acronym F.A.S.T: Face (is one side drooping?), Arms (can they raise both arms?), Speech (is speech slurred?), Time (call 911 immediately). Other signs include sudden confusion, severe headache, or trouble seeing.","Signs of a stroke include weakness or numbness affecting one side of the body, sudden behavioral changes, loss of vision, confusion, loss of speech, dizziness, and loss of balance or coordination. Additionally, severe headaches described as ""the worst headache of my life"" and paralysis of the face, arm, or leg on one side of the body can also be symptoms.",0.20454545454545456,0.12903225806451613,0.20454545454545456
q033,What is an 'A1C' test?,lab_test,medium,The A1C (or HbA1c) test is a blood test that measures your average blood sugar levels over the past 2 to 3 months. It is commonly used to diagnose and monitor diabetes.,"The A1C test, also known as Hemoglobin A1c, Diabetic control index, GHb, glycosylated hemoglobin, or glycated hemoglobin, is used to measure a person's average blood sugar levels over the past two to three months. If treatment goals are met and sugar levels are stable, it's advised to conduct the test at least semiannually, but for individuals not meeting targets, it should be done quarterly. No fasting is required for this test, and insurance usually covers it with results typically available the next day.",0.2318840579710145,0.27826086956521745,0.27826086956521745
q034,Why shouldn't you take antacids with some medications?,drug_interaction,medium,"Antacids can change the acidity of your stomach, which can interfere with the absorption of other drugs, making them less effective. It's best to space out antacids and other medications by at least 2 hours.","Antacids are prone to drug interactions, which can affect the absorption and effectiveness of other medications if taken simultaneously. It is often recommended to avoid taking other medications at the same time as antacids to minimize these interactions.",0.34375,0.3013698630136986,0.34375
q035,What is 'herd immunity'?,public_health,medium,"Herd immunity (or community immunity) occurs when a large portion of a community becomes immune to a disease (through vaccination or prior illness), making the spread of disease from person to person unlikely. This protects the entire community, including those who cannot be vaccinated.","Herd immunity is the protection of a population from an infectious disease that occurs when a sufficient percentage of people are immune, usually through vaccination or previous infection, reducing the likelihood of disease spread. This can help protect individuals who are not immune, such as those who cannot be vaccinated for medical reasons.",0.35555555555555557,0.32989690721649484,0.35555555555555557
q036,What is GERD (Gastroesophageal Reflux Disease)?,disease,medium,"GERD is a chronic digestive disorder where stomach acid frequently flows back into the esophagus (the tube connecting your mouth and stomach). This backwash (acid reflux) can irritate the lining of your esophagus, causing symptoms like heartburn.","GERD is a chronic condition where the lower esophageal sphincter allows gastric acids to reflux into the esophagus, causing symptoms like heartburn and acid indigestion, and potentially injuring the esophageal lining.",0.48148148148148145,0.3235294117647059,0.48148148148148145
q037,What is the main side effect of opioid pain relievers?,side_effects,medium,"Besides drowsiness and pain relief, the most common and problematic side effects are constipation and nausea. They also carry a high risk of respiratory depression (slowed breathing) and addiction.","The main side effects of opioid pain relievers include constipation, drowsiness, and nausea.",0.5384615384615384,0.23809523809523808,0.5384615384615384
q038,What is a 'CT scan'?,diagnosis,medium,"A CT (Computed Tomography) scan combines a series of X-ray images taken from different angles to create cross-sectional, 3D images of the bones, blood vessels, and soft tissues inside your body. It provides more detailed images than a standard X-ray.","A CT scan, or computed tomography scan, is a medical procedure where a series of x-rays are taken and assembled by a computer to create detailed cross-sectional images of areas inside the body. It is used to image a wide variety of body structures and internal organs.",0.3783783783783784,0.3218390804597701,0.3783783783783784
q039,What is 'palliative care'?,treatment,medium,"Palliative care is specialized medical care for people living with a serious illness. It focuses on providing relief from the symptoms and stress of the illness, with the goal of improving quality of life for both the patient and their family. It can be provided at any stage of illness.","Palliative care is treatment aimed at improving the symptoms associated with incurable cancer, focusing primarily on enhancing the quality of life for the patient. It involves a multimodal approach, including surgery, radiation, chemotherapy, and symptomatic treatments, coordinated by various specialists.",0.42105263157894735,0.2888888888888889,0.42105263157894735
q040,What is the difference between an 'epidemic' and a 'pandemic'?,public_health,medium,"An 'epidemic' is a disease outbreak that spreads rapidly and affects many individuals in a specific community or region. A 'pandemic' is an epidemic that has spread over multiple countries or continents, affecting a large number of people worldwide.","An epidemic refers to a disease that suddenly affects a large number of people within a specific community and spreads rapidly throughout that community. A pandemic, on the other hand, is a worldwide outbreak of an infection that affects millions of people across countries or the world.",0.5428571428571428,0.3255813953488372,0.5428571428571428
q041,What is carpal tunnel syndrome?,disease,medium,"Carpal tunnel syndrome is a condition caused by pressure on the median nerve as it passes through a narrow passageway in the wrist (the carpal tunnel). It causes numbness, tingling, and weakness in the hand and arm.","Carpal tunnel syndrome is a condition that results in weakness, loss of sensation, or even paralysis of the thumb and fingers due to compression of the median nerve in the wrist. If left untreated, it can lead to permanent damage. It is often associated with certain medical conditions, injuries, and repetitive wrist movements.",0.29545454545454547,0.28888888888888886,0.29545454545454547
q042,What is the recommended daily limit for sodium?,nutrition,medium,"The American Heart Association recommends no more than 2,300 milligrams (mg) a day, but ideally, most adults should aim for no more than 1,500 mg per day. High sodium intake is linked to high blood pressure.","The recommended daily limit for sodium is about 2,400 milligrams, which is roughly the amount found in a teaspoon of salt.",0.2631578947368421,0.14035087719298245,0.2631578947368421
q043,What is 'anaphylaxis'?,symptom,high,"Anaphylaxis is a severe, life-threatening allergic reaction. Symptoms include difficulty breathing, swelling of the throat or tongue, hives, a rapid drop in blood pressure, and dizziness. It requires immediate treatment with epinephrine.","Anaphylaxis is a severe allergic reaction where the immune system responds aggressively to harmless substances, leading to symptoms like airway constriction, skin and intestinal irritation, and altered heart rhythms. It can occur within minutes or seconds of exposure and may progress to complete airway obstruction, shock, and even death.",0.23255813953488372,0.1728395061728395,0.23255813953488372
q044,Why are MAOIs prescribed with so many dietary restrictions?,drug_interaction,high,"MAOIs (Monoamine Oxidase Inhibitors) block an enzyme that breaks down tyramine. Eating foods high in tyramine (like aged cheeses, cured meats, and soy sauce) while on an MAOI can cause a dangerous spike in blood pressure (a hypertensive crisis).","MAOIs require dietary restrictions because they block the enzyme monoamine oxidase, which is involved in breaking down tyramine found in certain aged cheeses and meats. This can lead to dangerous interactions that could be fatal, particularly resulting in severe high blood pressure.",0.325,0.2716049382716049,0.325
q045,What is the function of the pancreas?,anatomy,medium,"The pancreas has two main functions: it produces enzymes that help digest food in the small intestine, and it produces hormones, most notably insulin, which controls the body's blood sugar levels.",The pancreas is vital for normal food digestion and metabolic processes. It produces digestive enzymes and secretes hormones such as insulin and glucagon.,0.3333333333333333,0.2222222222222222,0.3333333333333333
q046,What is Alzheimer's disease?,disease,medium,"Alzheimer's disease is a progressive brain disorder that slowly destroys memory and thinking skills. It is the most common cause of dementia, a general term for a decline in mental ability severe enough to interfere with daily life.","Alzheimer's disease is the most common form of dementia, characterized by a significant loss of mental ability that interferes with daily activities and lasts for at least six months. It is a progressive neurological disease that primarily affects older adults, with one in 15 people over age 65 affected and the ratio increasing to one in three by age 85. There is no known cure, but certain medications can help delay the progression of the disease.",0.3333333333333333,0.22807017543859648,0.3333333333333333
q047,What is a 'placebo effect'?,treatment,medium,The placebo effect is a phenomenon where a person experiences a real improvement in their condition after receiving a treatment (a placebo) that has no active therapeutic properties. This response is believed to be triggered by the person's belief in the treatment.,"The placebo effect occurs when a treatment or medication with no known therapeutic value (a placebo) is administered to a patient, and the patient's symptoms improve because they believe and expect that the treatment will work.",0.3870967741935484,0.2820512820512821,0.3870967741935484
q048,What is a 'fever'?,symptom,easy,"A fever is a temporary increase in your body temperature, often due to an illness or infection. It's a natural response of the body's immune system. A temperature of 100.4°F (38°C) or higher is generally considered a fever.","A fever is a natural response of the body to help fight off foreign substances, such as microorganisms and toxins, by raising the body temperature. This increase in temperature is regulated by the thermoregulatory center in the hypothalamus of the brain. Fever is not constant throughout the day and can vary in different regions of the body.",0.3,0.23157894736842105,0.3
q049,What is 'triage' in a medical context?,medical_procedure,medium,Triage is the process of sorting patients based on the urgency of their need for medical care. It is used in emergency rooms and at disaster sites to ensure that patients with the most life-threatening conditions are treated first.,Triage is the process of determining the priority of patients' treatments based on the severity of their condition to ensure that those who need urgent care receive it first. It is commonly used in emergency situations to manage patient flow efficiently.,0.5,0.42500000000000004,0.5
q050,What is Stevens-Johnson syndrome (SJS)?,side_effects,high,"Stevens-Johnson syndrome (SJS) is a rare, serious, and life-threatening disorder of the skin and mucous membranes. It is most often a severe reaction to a medication, causing the skin to blister and peel off.","Stevens-Johnson syndrome (SJS) is a severe condition characterized by extensive skin and mucous membrane inflammation, often triggered by medications like penicillins, barbiturates, and phenytoin, or infections such as herpes simplex and mycoplasma. It involves symptoms like fever and inflammation of the conjunctivae, with mucous membrane changes. It is a serious condition that requires immediate medical attention.",0.28888888888888886,0.26666666666666666,0.28888888888888886
q051,What is a 'living will'?,medical_procedure,medium,"A living will is a written legal document, also known as an advance directive, that specifies what types of medical treatments you would or would not want in end-of-life situations if you are unable to communicate your wishes.","A living will is a legal document that outlines a person's wishes regarding medical treatment, particularly life support, in the event they are unable to communicate their decisions due to mental incompetence. It helps guide physicians and loved ones in making end-of-life decisions, reflecting the individual's preferences discussed in advance.",0.29545454545454547,0.29545454545454547,0.29545454545454547
q052,What is the difference between a 'sign' and a 'symptom'?,diagnosis,medium,"A 'symptom' is a subjective experience that only the patient can feel (e.g., nausea, pain, fatigue). A 'sign' is an objective, observable indicator of disease that a doctor can measure or see (e.g., a rash, fever, high blood pressure).","A 'sign' is an objective evidence of a disease that can be observed or measured by others, such as a rash or a fever. A 'symptom', on the other hand, is a subjective experience reported by the patient, such as pain or fatigue, which may not be observable by others.",0.3611111111111111,0.2247191011235955,0.3611111111111111
q053,What is 'informed consent'?,medical_procedure,medium,"Informed consent is a process in which a healthcare provider educates a patient about the risks, benefits, and alternatives of a medical treatment or procedure. The patient must give permission (consent) before the treatment can be given.","Informed consent is the process of providing information about a procedure, its risks, and benefits to individuals so they can make an educated decision about their participation. It usually includes answering any questions they may have and signing a consent form to give permission for the procedure or treatment.",0.3333333333333333,0.2558139534883721,0.3333333333333333
q054,What is 'tinnitus'?,symptom,medium,"Tinnitus is the perception of noise or ringing in the ears when no external sound is present. It is a symptom, not a disease itself, and can be caused by hearing loss, ear injury, or circulatory system disorders.","Tinnitus is the perception of ringing, buzzing, or other sounds in the ears or head without an external source. It can occur in one or both ears and affects millions of adults in the United States. Tinnitus can be objective, where the sounds can be heard by both the patient and the doctor, or subjective, where only the patient hears them.",0.358974358974359,0.3232323232323232,0.358974358974359
q055,What is 'atrial fibrillation' (A-Fib)?,disease,medium,"Atrial fibrillation (A-Fib) is an irregular and often very rapid heart rhythm (arrhythmia). This can lead to blood clots forming in the heart, increasing the risk of stroke, heart failure, and other heart-related complications.","Atrial fibrillation (A-Fib) is described as a rapid, uncoordinated quivering of the upper chamber of the heart, known as the atrium. This condition leads to an irregular and often rapid heart rate, which can cause poor blood flow and may require medical attention.",0.4473684210526316,0.33766233766233766,0.4473684210526316
q056,Why can't some antibiotics be taken with dairy?,drug_interaction,high,"Calcium in dairy products (like milk, yogurt, and cheese) can bind to certain antibiotics (specifically tetracyclines and fluoroquinolones) in the stomach. This prevents the antibiotic from being properly absorbed into the body, making it less effective.","Some antibiotics cannot be taken with dairy because calcium in dairy products can bind to the antibiotic, forming an insoluble compound that the body cannot absorb. This reduces the antibiotic's effectiveness in treating the infection. Always follow the specific instructions provided with the medication regarding food or drink restrictions.",0.25,0.2588235294117647,0.2588235294117647
q057,What is the purpose of an 'endoscopy'?,medical_procedure,medium,"An endoscopy is a procedure used to visually examine your upper digestive system. A doctor uses an endoscope—a long, flexible tube with a tiny camera on the end—to look inside your esophagus, stomach, and the first part of your small intestine.",The purpose of an endoscopy is to visually inspect and examine the gastrointestinal tract using an instrument containing a camera and light source. It allows physicians to directly see the lining of areas such as the esophagus and perform biopsies if needed. Endoscopy can help diagnose conditions like GERD and other esophageal disorders.,0.2558139534883721,0.2553191489361702,0.2558139534883721
q058,What is 'anemia'?,disease,easy,"Anemia is a condition in which you lack enough healthy red blood cells to carry adequate oxygen to your body's tissues. The most common cause is iron deficiency, leading to symptoms like fatigue, weakness, and shortness of breath.","Anemia is a deficiency in the iron-carrying capacity of the blood, which can be congenital or acquired.",0.4375,0.21818181818181817,0.4375
q059,What are 'probiotics'?,nutrition,easy,"Probiotics are live, beneficial bacteria and yeasts that are good for your health, especially your digestive system. They are often called 'good' or 'friendly' bacteria and can be found in yogurt, fermented foods, and supplements.","Probiotics are supplements of beneficial microorganisms, such as bacteria, that are intended to improve or restore the normal balance of microorganisms in the digestive tract. These bacteria protect the body against pathogenic bacteria or assist in recovery from an illness.",0.24242424242424243,0.21333333333333332,0.24242424242424243
q060,What is 'polypharmacy'?,geriatrics,medium,"Polypharmacy is the simultaneous use of multiple medications by a single patient, often to treat multiple chronic conditions. It is most common in elderly patients and increases the risk of drug interactions and adverse side effects.",The term 'polypharmacy' is not defined within the provided context.,0.2222222222222222,0.13043478260869565,0.2222222222222222
q061,What is a 'concussion'?,disease,medium,"A concussion is a mild traumatic brain injury (TBI) caused by a bump, blow, or jolt to the head. It can cause the brain to move or twist in the skull, resulting in symptoms like headache, confusion, dizziness, and temporary loss of consciousness.","A concussion is a trauma-induced change in mental status characterized by confusion and amnesia, which may occur with or without a brief loss of consciousness. It happens when the head is hit or when the brain is jarred against the skull with enough force, resulting in temporary loss of function in the higher centers of the brain.",0.36585365853658536,0.3,0.36585365853658536
q062,What is a 'false positive' in medical testing?,diagnosis,medium,"A false positive is a test result that incorrectly indicates that a particular condition or attribute is present when it is not. For example, a screening test that says a person has a disease when they actually do not.","A 'false positive' in medical testing refers to test results that indicate a problem or the presence of a condition when, in reality, there is none.",0.2608695652173913,0.1846153846153846,0.2608695652173913
q063,What is 'HIPAA'?,public_health,medium,HIPAA (Health Insurance Portability and Accountability Act) is a U.S. federal law that sets national standards to protect sensitive patient health information (PHI) from being disclosed without the patient's consent or knowledge.,"HIPAA stands for the Health Insurance Portability and Accountability Act, which is a United States law designed to provide privacy standards to protect patients' medical information and secure electronic health records. It ensures that personal health information is properly safeguarded while allowing the flow of information needed to provide high-quality health care.",0.36585365853658536,0.33333333333333337,0.36585365853658536
